RSID,MLBID,Team,Trans,Pos,First,Last,Started,StarterInSeason,End,EndedInSeason,TotalInSeasonDays,Transferred to 60 day DL,Disabled List Type,Side,Location,BodyType,Injury,Extent,Surgery,Surgery Date
bannb001,446454,KCR,8/18/2010,P,Brian,Bannister,8/8/2010,8/8/2010,9/3/2010,9/3/2010,26,,15,right,rotator cuff,,tendinitis,,,
texek001,444427,KCR,8/29/2010,P,Kanekoa,Texeira,8/28/2010,8/28/2010,9/24/2010,9/24/2010,27,,15,right,elbow,,strain,,,
kendj001,116974,KCR,9/3/2010,C,Jason,Kendall,9/3/2010,9/3/2010,unk,10/3/2010,30,,60,right,shoulder,,injury,,Yes,
dejed001,430203,KCR,7/23/2010,O,David,DeJesus,7/23/2010,7/23/2010,unk,10/3/2010,72,9/1/2010,15,right,thumb,ligament,torn,,,
willr004,435065,LAA,4/3/2010,O,Reggie,Willits,3/30/2010,4/5/2010,4/14/2010,4/14/2010,9,,15,right,hamstring,,strain,,,
kazms001,431148,LAA,4/3/2010,P,Scott,Kazmir,3/31/2010,4/5/2010,4/15/2010,4/15/2010,10,,15,right,hamstring,,strain,,,
fuenb001,150118,LAA,4/14/2010,P,Brian,Fuentes,4/8/2010,4/8/2010,4/21/2010,4/21/2010,13,,15,,back,,strain,,,
wilsb002,435064,LAA,4/24/2010,C,Bobby,Wilson,4/24/2010,4/24/2010,5/17/2010,5/17/2010,23,,15,left,ankle,,concussion,,,
iztum001,430895,LAA,5/8/2010,I,Maicer,Izturis,5/6/2010,5/6/2010,5/25/2010,5/25/2010,19,,15,right,shoulder,,sore,,,
woodb003,457420,LAA,5/24/2010,I,Brandon,Wood,5/24/2010,5/24/2010,6/15/2010,6/15/2010,22,,15,,hip flexor,,strain,,,
mathj001,425772,LAA,4/20/2010,C,Jeff,Mathis,4/20/2010,4/20/2010,6/17/2010,6/17/2010,58,,15,,wrist,,injury,,,
iztum001,430895,LAA,6/17/2010,I,Maicer,Izturis,6/16/2010,6/16/2010,7/19/2010,7/19/2010,33,,15,right,elbow,,strain,,,
kazms001,431148,LAA,7/19/2010,P,Scott,Kazmir,7/11/2010,7/11/2010,8/7/2010,8/7/2010,27,,15,left,shoulder,,strain,,,
thomr006,460366,LAA,8/7/2010,P,Rich,Thompson,8/7/2010,8/7/2010,8/28/2010,8/28/2010,21,,15,right,shoulder,,stiffness,,,
stokb001,425530,LAA,5/11/2010,P,Brian,Stokes,5/10/2010,5/10/2010,9/1/2010,9/1/2010,114,,15,right,shoulder,,fatigue,,,
bulgj001,408072,LAA,6/13/2010,P,Jason,Bulger,6/11/2010,6/11/2010,9/1/2010,9/1/2010,82,,15,right,shoulder,,strain,,,
pinej001,334492,LAA,7/30/2010,P,Joel,Pineiro,7/26/2010,7/26/2010,9/18/2010,9/18/2010,54,,15,left,oblique,,strain,,,
iztum001,430895,LAA,8/22/2010,I,Maicer,Izturis,8/22/2010,8/22/2010,9/27/2010,9/27/2010,36,,15,right,shoulder,,inflammation,,,
morak001,434778,LAA,5/30/2010,I,Kendry,Morales,5/30/2010,5/30/2010,unk,10/3/2010,126,,60,left,leg,,broken,,,
pettc001,501941,LAA,4/3/2010,P,Chris,Pettit,3/26/2010,4/5/2010,unk,10/3/2010,181,4/13/2010,15,right,labrum,,surgery,,yes,3/1/2010
kuo-h001,425539,LAD,4/4/2010,P,Hong-Chih,Kuo,3/26/2010,4/5/2010,4/22/2010,4/22/2010,17,,15,left,elbow,,tender,,,
weavj002,213711,LAD,4/22/2010,P,Jeff,Weaver,4/22/2010,4/22/2010,5/7/2010,5/7/2010,15,,15,lower,back,,pain,,,
ramim002,120903,LAD,4/23/2010,O,Manny,Ramirez,4/23/2010,4/23/2010,5/8/2010,5/8/2010,15,,15,right,calf,,strain,,,
furcr001,279577,LAD,5/4/2010,I,Rafael,Furcal,4/28/2010,4/28/2010,5/25/2010,5/25/2010,27,,15,left,hamstring,,strain,,,
ethia001,444843,LAD,5/18/2010,O,Andre,Ethier,5/15/2010,5/15/2010,5/31/2010,5/31/2010,16,,15,right pinky,finger,,fracture,,,
haegc001,446624,LAD,5/10/2010,P,Charlie,Haeger,5/9/2010,5/9/2010,6/6/2010,6/6/2010,28,,15,right,foot,,plantar fasciitis,,,
sherg001,430941,LAD,5/25/2010,P,George,Sherrill,5/24/2010,5/24/2010,6/8/2010,6/8/2010,15,,15,middle,back,,strain,,,
padiv001,218894,LAD,4/25/2010,P,Vicente,Padilla,4/23/2010,4/23/2010,6/19/2010,6/19/2010,57,,15,right,forearm,,sore,,,
haegc001,446624,LAD,6/6/2010,P,Charlie,Haeger,6/6/2010,6/6/2010,6/24/2010,6/24/2010,18,,15,right,foot,,plantar fasciitis,,,
billc001,451532,LAD,6/15/2010,P,Chad,Billingsley,6/13/2010,6/13/2010,6/28/2010,6/28/2010,15,,15,,groin,,injury,,,
monac001,467856,LAD,6/19/2010,P,Carlos,Monasterios,6/19/2010,6/19/2010,7/7/2010,7/7/2010,18,,15,index,finger,,blister,,,
ramim002,120903,LAD,7/3/2010,O,Manny,Ramirez,6/30/2010,6/30/2010,7/15/2010,7/15/2010,15,,15,right,hamstring,,strain,,,
ausmb001,110385,LAD,4/10/2010,C,Brad,Ausmus,4/9/2010,4/9/2010,7/20/2010,7/20/2010,102,4/28/2010,15,lower,back,nerve,pinched,,,
johnr008,407862,LAD,7/15/2010,O,Reed,Johnson,7/9/2010,7/9/2010,8/4/2010,8/4/2010,26,,15,lower,back,,stiffness,,,
ramim002,120903,LAD,7/20/2010,O,Manny,Ramirez,7/17/2010,7/17/2010,8/21/2010,8/21/2010,35,,15,right,calf,,strain,,,
weavj002,213711,LAD,8/3/2010,P,Jeff,Weaver,8/3/2010,8/3/2010,8/22/2010,8/22/2010,19,,15,left,knee,,sore,,,
padiv001,218894,LAD,8/20/2010,P,Vicente,Padilla,8/16/2010,8/16/2010,9/3/2010,9/3/2010,18,,15,,neck,disk,bulging,,,
furcr001,279577,LAD,8/11/2010,I,Rafael,Furcal,8/3/2010,8/3/2010,9/3/2010,9/3/2010,31,,15,,back,,strain,,,
martr004,431145,LAD,8/4/2010,C,Russell,Martin,8/4/2010,8/4/2010,unk,10/3/2010,60,9/6/2010,15,right,hip,,labral tear,,,
schlt001,459411,LAD,8/22/2010,P,Travis,Schlichting,8/22/2010,8/22/2010,unk,10/3/2010,42,,15,right,shoulder,,sore,,,
wadec001,460677,LAD,4/5/2010,P,Cory,Wade,3/26/2010,4/5/2010,unk,10/3/2010,181,5/4/2010,15,right,shoulder,,surgery,,yes,3/1/2010
puntn001,346857,MIN,4/23/2010,I,Nick,Punto,4/16/2010,4/16/2010,5/1/2010,5/1/2010,15,,15,right,hip,flexor,strain,,,
neshp001,450212,MIN,5/2/2010,P,Pat,Neshek,4/29/2010,4/29/2010,5/5/2010,5/5/2010,6,,15,right middle,finger,,inflammation,,,
moraj002,458643,MIN,3/31/2010,C,Jose,Morales,3/26/2010,4/5/2010,5/13/2010,5/13/2010,38,,15,right,wrist,,surgery,,yes,1/1/2010
mijaj001,467726,MIN,4/17/2010,P,Jose,Mijares,4/16/2010,4/16/2010,5/14/2010,5/14/2010,28,,15,left,elbow,,strain,,,
hardj003,429666,MIN,5/11/2010,I,J.J.,Hardy,5/5/2010,5/5/2010,5/25/2010,5/25/2010,20,,15,left,wrist,,contusion.,,,
hudso001,407861,MIN,6/8/2010,I,Orlando,Hudson,5/31/2010,5/31/2010,6/18/2010,6/18/2010,18,,15,left,wrist,,sprain,,,
hardj003,429666,MIN,6/11/2010,I,J.J.,Hardy,6/7/2010,6/7/2010,7/3/2010,7/3/2010,26,,15,left,wrist,bone,bruise,,,
casia001,458210,MIN,6/1/2010,I,Alexi,Casilla,6/1/2010,6/1/2010,7/22/2010,7/22/2010,51,,15,right,elbow,bone,spur,,,
hudso001,407861,MIN,7/25/2010,I,Orlando,Hudson,7/24/2010,7/24/2010,8/8/2010,8/8/2010,15,,15,right,oblique,,strain,,,
tolbm001,445196,MIN,7/3/2010,I,Matt,Tolbert,7/1/2010,7/1/2010,8/15/2010,8/15/2010,45,,15,right middle,finger,,contusion,,,
puntn001,346857,MIN,7/30/2010,I,Nick,Punto,7/29/2010,7/29/2010,8/17/2010,8/17/2010,19,,15,left,hamstring,,strain,,,
mornj001,408047,MIN,7/16/2010,I,Justin,Morneau,7/8/2010,7/8/2010,10/3/2010,10/3/2010,87,9/3/2010,15,,head,,concussion,,,
slowk001,458713,MIN,8/22/2010,P,Kevin,Slowey,8/22/2010,8/22/2010,9/6/2010,9/6/2010,15,,15,right,triceps,,strain,,,
puntn001,346857,MIN,8/20/2010,I,Nick,Punto,8/20/2010,8/20/2010,9/10/2010,9/10/2010,21,,15,left,hamstring,,strain,,,
mijaj001,467726,MIN,8/12/2010,P,Jose,Mijares,8/12/2010,8/12/2010,9/12/2010,9/12/2010,31,,15,right,knee,,strain,,,
mahar001,118158,MIN,8/22/2010,P,Ron,Mahay,8/22/2010,8/22/2010,unk,10/3/2010,42,8/25/2010,15,right,shoulder,,strain,,,
condc001,424925,MIN,4/3/2010,P,Clay,Condrey,4/3/2010,4/5/2010,unk,10/3/2010,181,7/20/2010,15,right,elbow,,strain,,,
nathj001,150274,MIN,3/31/2010,P,Joe,Nathan,3/26/2010,4/5/2010,unk,10/3/2010,181,4/15/2010,15,right,elbow,,Tommy John surgery,,yes,3/1/2010
suppj001,122987,MLW,3/30/2010,P,Jeff,Suppan,3/26/2010,4/5/2010,4/15/2010,4/15/2010,10,,15,,cervical disc,,pain,,,
gomec002,460576,MLW,5/11/2010,O,Carlos,Gomez,5/6/2010,5/6/2010,5/21/2010,5/21/2010,15,,15,left,rotator cuff,,strain,,,
butlj001,453332,MLW,3/31/2010,P,Josh,Butler,3/26/2010,4/5/2010,5/31/2010,5/31/2010,56,,15,right,elbow,,impingement.,,,
edmoj001,113744,MLW,5/18/2010,O,Jim,Edmonds,5/16/2010,5/16/2010,6/1/2010,6/1/2010,16,,15,left,oblique,,strain,,,
gamem001,451143,MLW,3/25/2010,I,Mat,Gamel,3/25/2010,4/5/2010,6/4/2010,6/4/2010,60,5/23/2010,15,,knee,,injury,,,
riskd001,228594,MLW,3/25/2010,P,David,Riske,3/25/2010,4/5/2010,6/8/2010,6/8/2010,64,5/21/2010,15,,elbow,,injury,,,
cofft001,434298,MLW,6/8/2010,P,Todd,Coffey,5/30/2010,5/30/2010,6/20/2010,6/20/2010,21,,15,right,thumb,,bruise,,,
david002,150277,MLW,5/16/2010,P,Doug,Davis,5/11/2010,5/11/2010,7/6/2010,7/6/2010,56,,15,,internal,,pericarditis,,,
gally001,451596,MLW,7/6/2010,P,Yovani,Gallardo,7/5/2010,7/5/2010,7/22/2010,7/22/2010,17,,15,right,oblique,,strain,,,
hawkl001,115629,MLW,5/9/2010,P,LaTroy,Hawkins,5/7/2010,5/7/2010,7/29/2010,7/29/2010,83,6/8/2010,15,right,shoulder,,weakness,,,
geruj001,425506,MLW,5/28/2010,O,Jody,Gerut,5/23/2010,5/23/2010,8/13/2010,8/13/2010,82,,15,left,heel,,bruise,,,
gomec002,460576,MLW,8/6/2010,O,Carlos,Gomez,8/3/2010,8/3/2010,8/24/2010,8/24/2010,21,,15,,head,,concussion,,,
david002,150277,MLW,7/16/2010,P,Doug,Davis,7/10/2010,7/10/2010,10/5/2010,10/3/2010,87,,15,,elbow,,injury,,,
zaung001,124748,MLW,5/21/2010,C,Gregg,Zaun,5/21/2010,5/21/2010,10/5/2010,10/3/2010,137,,15,right,shoulder,,strain,,,
hawkl001,115629,MLW,8/12/2010,P,LaTroy,Hawkins,8/11/2010,8/11/2010,10/5/2010,10/3/2010,55,,15,right,shoulder,,strain,,,
reyej001,408314,NYM,4/4/2010,I,Jose,Reyes,3/26/2010,4/5/2010,4/10/2010,4/10/2010,5,,15,,internal,,thyroid condition,,,
igarr001,579799,NYM,4/21/2010,P,Ryota,Igarashi,4/21/2010,4/21/2010,5/23/2010,5/23/2010,32,,15,left,hamstring,,strain,,,
murpd006,502517,NYM,4/4/2010,I,Daniel,Murphy,3/31/2010,4/5/2010,5/24/2010,5/24/2010,49,,15,right,knee,,sprain,,,
niesj001,477003,NYM,5/21/2010,P,Jon,Niese,5/17/2010,5/17/2010,6/5/2010,6/5/2010,19,,15,right,hamstring,,strain,mild,,
beltc001,136860,NYM,3/31/2010,O,Carlos,Beltran,3/26/2010,4/5/2010,7/15/2010,7/15/2010,101,5/25/2010,15,right,knee,,surgery,,yes,1/1/2010
castl001,112116,NYM,6/4/2010,I,Luis,Castillo,6/2/2010,6/2/2010,7/19/2010,7/19/2010,47,,15,right,heel,,bruise,,,
pereo002,424144,NYM,6/5/2010,P,Oliver,Perez,6/1/2010,6/1/2010,7/21/2010,7/21/2010,50,,15,right,knee,,tendinitis,,,
grees004,434958,NYM,4/11/2010,P,Sean,Green,4/8/2010,4/8/2010,8/12/2010,8/12/2010,126,,15,right,intercostal,muscle,strain,,,
barar001,150148,NYM,7/26/2010,C,Rod,Barajas,7/25/2010,7/25/2010,8/19/2010,8/19/2010,25,,15,left,oblique,,strain,,,
bay-j001,424726,NYM,7/30/2010,O,Jason,Bay,7/26/2010,7/26/2010,unk,10/3/2010,69,9/6/2010,15,,head,,concussion,,,
escok001,113898,NYM,3/31/2010,P,Kelvim,Escobar,3/26/2010,4/5/2010,unk,10/3/2010,181,5/21/2010,15,right,labrum,,inflammation,,,
tatif001,123107,NYM,7/5/2010,I,Fernando,Tatis,7/5/2010,7/5/2010,unk,10/3/2010,90,7/15/2010,15,right,shoulder,ac joint,sprain,,,
mainj001,429720,NYM,5/21/2010,P,John,Maine,5/21/2010,5/21/2010,unk,10/3/2010,135,9/2/2010,15,right,shoulder,,weakness,,,
,0,NYY,4/16/2010,P,Chan,Ho Park,4/16/2010,4/16/2010,5/17/2010,5/17/2010,31,,15,right,hamstring,,strain,,,
granc001,434158,NYY,5/2/2010,O,Curtis,Granderson,5/2/2010,5/2/2010,5/28/2010,5/28/2010,26,,15,left,groin,,strain,,,
posaj001,120691,NYY,5/20/2010,C,Jorge,Posada,5/17/2010,5/17/2010,6/2/2010,6/2/2010,16,,15,right,foot,,fracture,hairline,,
thamm001,407801,NYY,6/13/2010,O,Marcus,Thames,6/13/2010,6/13/2010,7/4/2010,7/4/2010,21,,15,right,hamstring,,strain,,,
mitrs001,429901,NYY,6/15/2010,P,Sergio,Mitre,6/5/2010,6/5/2010,7/24/2010,7/24/2010,49,,15,,oblique,,strain,,,
berkl001,204020,NYY,8/19/2010,I,Lance,Berkman,8/16/2010,8/16/2010,9/1/2010,9/1/2010,16,,15,right,ankle,,sprain,,,
rodra001,121347,NYY,8/21/2010,I,Alex,Rodriguez,8/21/2010,8/21/2010,9/5/2010,9/5/2010,15,,15,left,calf,,strain,,,
petta001,120485,NYY,7/20/2010,P,Andy,Pettitte,7/19/2010,7/19/2010,9/17/2010,9/17/2010,60,,15,left,groin,,strain,,,
aceva001,469686,NYY,5/12/2010,P,Alfredo,Aceves,5/9/2010,5/9/2010,unk,10/3/2010,147,7/31/2010,15,lower,back,disk,bulging,,,
johnn001,276376,NYY,5/8/2010,I,Nick,Johnson,5/8/2010,5/8/2010,unk,10/3/2010,148,5/20/2010,15,right,wrist,tendon,inflammation,,,
martd004,150122,NYY,7/17/2010,P,Damaso,Marte,7/8/2010,7/8/2010,unk,10/3/2010,87,9/1/2010,15,left,shoulder,,sore,,,
wuerm001,430900,OAK,4/4/2010,P,Michael,Wuertz,3/26/2010,4/5/2010,5/3/2010,5/3/2010,28,,15,right,shoulder,,tendinitis,,,
duchj001,407113,OAK,5/7/2010,P,Justin,Duchscherer,4/30/2010,4/30/2010,5/15/2010,5/15/2010,15,,15,left,hip,,inflammation,,,
suzuk001,435559,OAK,4/30/2010,C,Kurt,Suzuki,4/24/2010,4/24/2010,5/16/2010,5/16/2010,22,,15,,rib,intercostal,strain,,,
crisc001,424825,OAK,4/4/2010,O,Coco,Crisp,4/4/2010,4/5/2010,5/21/2010,5/21/2010,46,,15,left pinkie,finger,,fracture,,,
ellim001,407885,OAK,4/21/2010,I,Mark,Ellis,4/21/2010,4/21/2010,5/22/2010,5/22/2010,31,,15,,hamstring,,injury,,,
andeb004,474463,OAK,4/27/2010,P,Brett,Anderson,4/25/2010,4/25/2010,5/29/2010,5/29/2010,34,,15,left,elbow,,inflammation,,,
crisc001,424825,OAK,5/26/2010,O,Coco,Crisp,5/23/2010,5/23/2010,6/22/2010,6/22/2010,30,,15,right,intercostal,muscle,strain,,,
bradd002,460284,OAK,6/23/2010,P,Dallas,Braden,6/23/2010,6/23/2010,7/20/2010,7/20/2010,27,,15,left,elbow,,stiffness,,,
andeb004,474463,OAK,6/4/2010,P,Brett,Anderson,6/4/2010,6/4/2010,7/30/2010,7/30/2010,56,,15,left,elbow,,inflammation,,,
buckt001,459941,OAK,4/22/2010,O,Travis,Buck,4/21/2010,4/21/2010,7/30/2010,7/30/2010,100,7/5/2010,15,right,oblique,,strain,,,
jackc002,433582,OAK,7/5/2010,O,Conor,Jackson,7/1/2010,7/1/2010,8/16/2010,8/16/2010,46,,15,right,hamstring,,strain,,,
baila001,457732,OAK,7/30/2010,P,Andrew,Bailey,7/21/2010,7/21/2010,8/22/2010,8/22/2010,32,,15,right,intercostal,,strain,,,
watsm002,420673,OAK,8/9/2010,OF,Matt,Watson,8/8/2010,8/8/2010,8/26/2010,8/26/2010,18,,15,,internal,,kidney stone,,,
duchj001,407113,OAK,5/16/2010,P,Justin,Duchscherer,5/16/2010,5/16/2010,unk,10/3/2010,140,6/4/2010,15,left,hip,,sore,,,
chave001,136767,OAK,5/22/2010,I,Eric,Chavez,5/21/2010,5/21/2010,unk,10/3/2010,135,7/7/2010,15,,neck,,spasms,,,
jackc002,433582,OAK,8/20/2010,O,Conor,Jackson,8/20/2010,8/20/2010,unk,10/3/2010,44,9/13/2010,15,lower,abdominal,,strain,,,
sheeb001,282656,OAK,7/24/2010,P,Ben,Sheets,7/20/2010,7/20/2010,unk,10/3/2010,75,7/31/2010,15,right,elbow,,strain,,,
rosaa001,489267,OAK,8/13/2010,I,Adam,Rosales,8/12/2010,8/12/2010,unk,10/3/2010,52,9/10/2010,15,right,ankle,,stress fracture,,,
meloj002,459974,OAK,3/29/2010,P,Jon,Meloan,3/29/2010,4/5/2010,unk,10/3/2010,181,,60,right,elbow,ligament,tear,,,
sweer001,435220,OAK,7/19/2010,O,Ryan,Sweeney,7/12/2010,7/12/2010,unk,10/3/2010,83,7/30/2010,15,right,patella,,tendinitis,,,
outmj001,489189,OAK,4/4/2010,P,Josh,Outman,3/26/2010,4/5/2010,unk,10/3/2010,181,4/8/2010,15,left,elbow,,Tommy John surgery,,yes,6/1/2009
devij001,457733,OAK,4/4/2010,P,Joey,Devine,3/26/2010,4/5/2010,unk,10/3/2010,181,4/30/2010,15,right,elbow,,Tommy John surgery,,yes,4/1/2009
romej001,240694,PHI,4/1/2010,P,J.C.,Romero,3/26/2010,4/5/2010,4/22/2010,4/22/2010,17,,15,left,elbow,,surgery,,yes,10/1/2009
lidgb001,400058,PHI,4/1/2010,P,Brad,Lidge,3/26/2010,4/5/2010,4/30/2010,4/30/2010,25,,15,right,elbow,,surgery,,yes,11/1/2009
blanj001,430599,PHI,4/3/2010,P,Joe,Blanton,3/26/2010,4/5/2010,5/3/2010,5/3/2010,28,,15,left,oblique,,strain,,,
rollj001,276519,PHI,4/14/2010,I,Jimmy,Rollins,4/13/2010,4/13/2010,5/17/2010,5/17/2010,34,,15,right,calf,,strain,,,
schnb001,150411,PHI,5/9/2010,C,Brian,Schneider,5/9/2010,5/9/2010,5/24/2010,5/24/2010,15,,15,left,achilles,,strain,,,
lidgb001,400058,PHI,5/16/2010,P,Brad,Lidge,5/10/2010,5/10/2010,5/31/2010,5/31/2010,21,,15,right,elbow,,inflammation,,,
rollj001,276519,PHI,5/22/2010,I,Jimmy,Rollins,5/22/2010,5/22/2010,6/22/2010,6/22/2010,31,,15,right,calf,,strain,,,
happj001,457918,PHI,4/22/2010,P,J.A.,Happ,4/16/2010,4/16/2010,7/6/2010,7/6/2010,81,,15,left,forearm,,strain,,,
madsr001,425492,PHI,4/30/2010,P,Ryan,Madson,4/29/2010,4/29/2010,7/8/2010,7/8/2010,70,5/9/2010,15,right great,toe,,broken,,,
ruizc001,434563,PHI,6/22/2010,C,Carlos,Ruiz,6/19/2010,6/19/2010,7/10/2010,7/10/2010,21,,15,,head,,concussion,,,
durbc001,239795,PHI,6/24/2010,P,Chad,Durbin,6/24/2010,6/24/2010,7/15/2010,7/15/2010,21,,15,,hamstring,,injury,,,
basta001,455374,PHI,6/17/2010,P,Antonio,Bastardo,6/16/2010,6/16/2010,7/15/2010,7/15/2010,29,,15,left,elbow,,neuritis,,,
polap001,135784,PHI,6/26/2010,I,Placido,Polanco,6/26/2010,6/26/2010,7/17/2010,7/17/2010,21,,15,left,elbow,,inflammation,,,
victs001,425664,PHI,7/28/2010,O,Shane,Victorino,7/28/2010,7/28/2010,8/12/2010,8/12/2010,15,,15,left,abdomen,,strain,,,
utlec001,400284,PHI,6/29/2010,I,Chase,Utley,6/29/2010,6/29/2010,8/17/2010,8/17/2010,49,,15,right,thumb,ligament,sprain,,,
howar001,429667,PHI,8/3/2010,I,Ryan,Howard,8/2/2010,8/2/2010,8/21/2010,8/21/2010,19,,15,left,ankle,,sprain,moderate,,
gloar001,340393,PHI,8/21/2010,O,Ross,Gload,8/19/2010,8/19/2010,9/3/2010,9/3/2010,15,,15,right,groin,,strain,,,
baezd001,276056,PHI,8/27/2010,P,Danys,Baez,8/25/2010,8/25/2010,9/9/2010,9/9/2010,15,,15,,back,,spasms,,,
moyej001,119469,PHI,7/26/2010,P,Jamie,Moyer,7/21/2010,7/21/2010,unk,10/3/2010,74,9/6/2010,15,left,elbow,,sprain,,,
maths001,455949,PHI,9/9/2010,P,Scott,Mathieson,9/6/2010,9/6/2010,unk,10/3/2010,27,,15,,latissimus strain,,strain,,,
hanrj001,430629,PIT,4/4/2010,P,Joel,Hanrahan,3/26/2010,4/5/2010,4/12/2010,4/12/2010,7,,15,right,elbow,,strain,,,
ohler001,456027,PIT,4/17/2010,P,Ross,Ohlendorf,4/12/2010,4/12/2010,5/10/2010,5/10/2010,28,,15,,back,,spasms,,,
donnb001,407791,PIT,5/4/2010,P,Brendan,Donnelly,4/28/2010,4/28/2010,5/20/2010,5/20/2010,22,,15,left,oblique,,strain,,,
tascj001,435620,PIT,5/20/2010,P,Jack,Taschner,5/18/2010,5/18/2010,6/2/2010,6/2/2010,15,,15,left,hamstring,,tightness,,,
mortc002,450203,PIT,5/28/2010,P,Charlie,Morton,5/28/2010,5/28/2010,7/2/2010,7/2/2010,35,,15,right,shoulder,,fatigue,,,
dukez001,435043,PIT,6/23/2010,P,Zach,Duke,6/17/2010,6/17/2010,7/12/2010,7/12/2010,25,,15,left,elbow,,sore,,,
doumr001,425491,PIT,7/22/2010,C,Ryan,Doumit,7/22/2010,7/22/2010,8/7/2010,8/7/2010,16,,15,,head,,concussion,,,
jakuc001,499856,PIT,4/25/2010,P,Chris,Jakubauskas,4/25/2010,4/25/2010,8/18/2010,8/18/2010,115,,15,,head,,contusion and concussion,,,
pears001,456665,PIT,5/24/2010,I,Steve,Pearce,5/24/2010,5/24/2010,unk,10/3/2010,132,8/4/2010,15,right,ankle,,sore,,,
clemj001,459943,PIT,8/23/2010,I,Jeff,Clement,8/21/2010,8/21/2010,unk,10/3/2010,43,9/7/2010,15,left,knee,,sore,,,
ohler001,456027,PIT,8/25/2010,P,Ross,Ohlendorf,8/24/2010,8/24/2010,unk,10/3/2010,40,9/7/2010,15,,back,,strain,,,
ascaj001,448857,PIT,4/4/2010,P,Jose,Ascanio,3/26/2010,4/5/2010,unk,10/3/2010,181,,60,right,labrum,,surgery,,yes,10/1/2009
thatj001,491159,SDP,4/4/2010,P,Joe,Thatcher,3/26/2010,4/5/2010,4/22/2010,4/22/2010,17,,15,left,shoulder,,strain,,,
cabre001,465784,SDP,4/27/2010,I,Everth,Cabrera,4/27/2010,4/27/2010,5/14/2010,5/14/2010,17,,15,right,hamstring,,strain,,,
galls001,451595,SDP,5/4/2010,P,Sean,Gallagher,5/4/2010,5/4/2010,5/28/2010,5/28/2010,24,,15,left,toe,,sprain,,,
hairj002,150020,SDP,8/28/2010,I,Jerry,Hairston,8/28/2010,8/28/2010,6/2/2010,6/2/2010,-87,,15,right,elbow,,sprain,,,
cabre001,465784,SDP,5/28/2010,I,Everth,Cabrera,5/24/2010,5/24/2010,6/25/2010,6/25/2010,32,,15,right,hamstring,,strain,,,
staut001,431162,SDP,5/11/2010,P,Tim,Stauffer,5/10/2010,5/10/2010,7/1/2010,7/1/2010,52,,15,,internal,,appendicitis,,,
staim001,122644,SDP,6/11/2010,O,Matt,Stairs,6/7/2010,6/7/2010,7/1/2010,7/1/2010,24,,15,right,knee,,strain,,,
venaw001,461416,SDP,7/3/2010,O,Will,Venable,7/2/2010,7/2/2010,7/21/2010,7/21/2010,19,,15,lower,back,,strain,,,
latom001,502009,SDP,7/16/2010,P,Mat,Latos,7/9/2010,7/9/2010,7/24/2010,7/24/2010,15,,15,left,oblique,,strain,,,
adamm001,430606,SDP,7/16/2010,P,Mike,Adams,7/12/2010,7/12/2010,8/7/2010,8/7/2010,26,,15,left,oblique,,strain,,,
ecksd001,275930,SDP,7/21/2010,I,David,Eckstein,7/21/2010,7/21/2010,8/21/2010,8/21/2010,31,,15,right,calf,,strain,,,
salao001,400073,SDP,8/1/2010,I,Oscar,Salazar,7/30/2010,7/30/2010,9/1/2010,9/1/2010,33,,15,right,achilles,tendon.,strain,,,
hairs001,430668,SDP,5/17/2010,O,Scott,Hairston,5/16/2010,5/16/2010,9/12/2010,9/12/2010,119,,15,left,hamstring,,strain,,,
gwynt002,448242,SDP,8/19/2010,O,Tony,Gwynn,8/19/2010,8/19/2010,9/13/2010,9/13/2010,25,,15,right,hand,hamate bone,fracture,,,
antom001,453327,SDP,4/30/2010,P,Matt,Antonelli,4/30/2010,4/30/2010,unk,10/3/2010,156,,60,left,hand,,broken,,,
blank002,452035,SDP,5/20/2010,O,Kyle,Blanks,5/18/2010,5/18/2010,unk,10/3/2010,138,7/29/2010,15,right,elbow,,strain,,,
younc003,432934,SDP,4/12/2010,P,Chris,Young,4/7/2010,4/7/2010,unk,10/3/2010,179,5/17/2010,15,right,shoulder,,tightness,,,
lee-c003,424324,SEA,4/4/2010,P,Cliff,Lee,3/26/2010,4/5/2010,4/30/2010,4/30/2010,25,,15,,abdomen,,strain,,,
hannj001,435219,SEA,3/31/2010,P,Jack,Hannahan,3/26/2010,4/5/2010,5/3/2010,5/3/2010,28,,15,right,groin,,strain,,,
bradm001,150396,SEA,7/31/2010,O,Milton,Bradley,7/27/2010,7/27/2010,5/24/2010,5/24/2010,-64,,15,right,knee,,tendinitis,,,
sweem002,123041,SEA,6/3/2010,D,Mike,Sweeney,6/3/2010,6/3/2010,6/18/2010,6/18/2010,15,,15,lower,back,,inflammation,,,
sweem002,123041,SEA,6/7/2010,D,Mike,Sweeney,6/3/2010,6/3/2010,6/18/2010,6/18/2010,15,,15,lower,back,,inflammation,,,
wilsj002,333292,SEA,5/12/2010,I,Jack,Wilson,5/6/2010,5/6/2010,6/20/2010,6/20/2010,45,,15,right,hamstring,,strain,,,
fistd001,450729,SEA,6/6/2010,P,Doug,Fister,6/1/2010,6/1/2010,6/25/2010,6/25/2010,24,,15,right,shoulder,,fatigue,,,
bardj001,408036,SEA,5/28/2010,C,Josh,Bard,5/27/2010,5/27/2010,6/29/2010,6/29/2010,33,,15,left,calf,,strain,,,
