RSID,MLBID,Team,Trans,Pos,First,Last,Started,StarterInSeason,End,EndedInSeason,TotalInSeasonDays,Transferred to 60 day DL,Disabled List Type,Side,Location,BodyType,Injury,Extent,Surgery,Surgery Date
bonsb001,425818,BOS,3/31/2010,P,Boof,Bonser,3/26/2010,4/4/2010,6/7/2010,6/7/2010,64,,60,right,groin,,strain,,,
matsd001,493137,BOS,6/12/2010,P,Daisuke,Matsuzaka,6/8/2010,6/8/2010,6/24/2010,6/24/2010,16,,15,right,forearm,,strain,,,
delcm001,434668,BOS,7/2/2010,P,Manny,Delcarmen,7/1/2010,7/1/2010,7/17/2010,7/17/2010,16,,15,right,forearm,,strain,,,
lowrj001,476704,BOS,3/31/2010,I,Jed,Lowrie,3/26/2010,4/4/2010,7/21/2010,7/21/2010,108,4/14/2010,15,,intercostal,,mononucleosis,,,
buchc001,453329,BOS,7/5/2010,P,Clay,Buchholz,6/27/2010,6/27/2010,7/21/2010,7/21/2010,24,,15,left,hamstring,,strain,,,
hermj001,435181,BOS,6/11/2010,O,Jeremy,Hermida,6/10/2010,6/10/2010,7/22/2010,7/22/2010,42,,15,,ribs,,fracture,,,
beckj002,277417,BOS,5/19/2010,P,Josh,Beckett,5/19/2010,5/19/2010,7/23/2010,7/23/2010,65,7/16/2010,15,,back,,injury,,,
martv001,400121,BOS,6/29/2010,C,Victor,Martinez,6/28/2010,6/28/2010,7/26/2010,7/26/2010,28,,15,left,thumb,bone,fracture,,,
lowem001,136780,BOS,6/24/2010,I,Mike,Lowell,6/23/2010,6/23/2010,8/3/2010,8/3/2010,41,,15,right,hip,,strain,,,
ellsj001,453056,BOS,5/28/2010,O,Jacoby,Ellsbury,5/25/2010,5/25/2010,8/4/2010,8/4/2010,71,,15,left,chest,,contusion.,,,
pedrd001,456030,BOS,8/20/2010,I,Dustin,Pedroia,8/19/2010,8/19/2010,unk,10/3/2010,45,,15,left,foot,,sore,,,
cashk001,408211,BOS,8/11/2010,C,Kevin,Cash,8/9/2010,8/9/2010,8/24/2010,8/24/2010,15,,15,left,hamstring,,strain,,,
okajh001,506606,BOS,8/6/2010,P,Hideki,Okajima,8/6/2010,8/6/2010,8/28/2010,8/28/2010,22,,15,right,hamstring,,strain,,,
saltj001,457454,BOS,8/19/2010,C,Jarrod,Saltalamacchia,8/16/2010,8/16/2010,9/1/2010,9/1/2010,16,,15,right,leg,,infection,,,
patte001,452221,BOS,8/17/2010,I,Eric,Patterson,8/17/2010,8/17/2010,9/1/2010,9/1/2010,15,,15,,neck,,strain,,,
varij001,123660,BOS,7/2/2010,C,Jason,Varitek,7/2/2010,7/2/2010,9/6/2010,9/6/2010,66,,15,left,foot,,broken,,,
ellsj001,453056,BOS,8/14/2010,O,Jacoby,Ellsbury,8/14/2010,8/14/2010,unk,10/3/2010,50,9/25/2010,15,,rib,,injury,,,
tazaj001,547749,BOS,4/3/2010,P,Junichi,Tazawa,4/3/2010,4/4/2010,unk,10/3/2010,182,,60,right,elbow,ligament,sprain,,,
camem001,111904,BOS,8/2/2010,O,Mike,Cameron,7/31/2010,7/31/2010,unk,10/3/2010,64,9/9/2010,15,,abdominal,muscle,strain,,,
youkk001,425903,BOS,8/3/2010,I,Kevin,Youkilis,8/3/2010,8/3/2010,unk,10/3/2010,61,9/13/2010,15,right,thumb,adductor muscle,tear,,,
lillt001,150404,CHC,4/4/2010,P,Ted,Lilly,3/26/2010,4/5/2010,4/24/2010,4/24/2010,19,,15,left,shoulder,,surgery,,yes,11/1/2009
carie001,534428,CHC,4/14/2010,P,Esmailin,Caridad,4/12/2010,4/12/2010,5/8/2010,5/8/2010,26,,15,right,forearm,,strain,,,
grabj002,346848,CHC,5/31/2010,P,John,Grabow,5/31/2010,5/31/2010,6/15/2010,6/15/2010,15,,15,left,knee,,sprain,,,
ramia001,133380,CHC,6/9/2010,I,Aramis,Ramirez,6/8/2010,6/8/2010,6/25/2010,6/25/2010,17,,15,left,thumb,,bruise,,,
schlb001,489295,CHC,7/7/2010,P,Brian,Schlitter,7/3/2010,7/3/2010,7/23/2010,7/23/2010,20,,15,right,shoulder,,impingement,,,
sotog001,434567,CHC,8/10/2010,C,Geovany,Soto,8/7/2010,8/7/2010,8/23/2010,8/23/2010,16,,15,right,shoulder,,sprain,,,
silvc001,400067,CHC,8/2/2010,P,Carlos,Silva,8/2/2010,8/2/2010,9/7/2010,9/7/2010,36,,15,,internal,heart,condition,,,
grabj002,346848,CHC,6/29/2010,P,John,Grabow,6/29/2010,6/29/2010,unk,10/3/2010,96,9/7/2010,15,left,knee,,sprain,,,
carie001,534428,CHC,5/22/2010,P,Esmailin,Caridad,5/22/2010,5/22/2010,unk,10/3/2010,134,9/7/2010,15,right,elbow,,strain,,,
guzma001,425768,CHC,4/4/2010,P,Angel,Guzman,3/26/2010,4/5/2010,unk,10/3/2010,181,5/31/2010,15,right,shoulder,,surgery,,yes,3/1/2010
sotog001,434567,CHC,9/20/2010,C,Geovany,Soto,9/19/2010,9/19/2010,10/7/2010,10/3/2010,18,,15,right,shoulder,,injury,,Yes,
colvt001,502125,CHC,9/20/2010,O,Tyler,Colvin,9/20/2010,9/20/2010,10/7/2010,10/3/2010,17,,15,,chest,,Punctured,,,
castr002,135783,CHW,4/4/2010,C,Ramon,Castro,3/29/2010,4/5/2010,5/3/2010,5/3/2010,28,,15,right,heel,,bruise,,,
teahm001,433597,CHW,6/1/2010,I,Mark,Teahen,5/31/2010,5/31/2010,8/13/2010,8/13/2010,74,,15,right middle,finger,,fracture,,,
three001,408069,CHW,8/3/2010,P,Erick,Threets,7/31/2010,7/31/2010,8/25/2010,8/25/2010,25,,15,left big,toe,,turf toe,,,
thorm001,407819,CHW,8/25/2010,P,Matt,Thornton,8/18/2010,8/18/2010,9/3/2010,9/3/2010,16,,15,left,elbow,,inflammation,,,
putzj001,407816,CHW,8/25/2010,P,J.J.,Putz,8/25/2010,8/25/2010,9/9/2010,9/9/2010,15,,15,right,knee,,tendinitis,,,
peavj001,408241,CHW,7/7/2010,P,Jake,Peavy,7/7/2010,7/7/2010,unk,10/3/2010,88,8/30/2010,15,right,shoulder,muscle,detached,,,
three001,408069,CHW,8/28/2010,P,Erick,Threets,8/28/2010,8/28/2010,unk,10/3/2010,36,9/3/2010,15,left,elbow,ligament,torn,,,
hanir001,452672,CIN,5/29/2010,C,Ryan,Hanigan,5/29/2010,5/29/2010,7/9/2010,7/9/2010,41,,15,left,thumb,,broken,,,
volqe001,450172,CIN,2/22/2010,P,Edinson,Volquez,2/22/2010,4/5/2010,7/17/2010,7/17/2010,103,,60,,elbow,,injury,,,
hernr002,150421,CIN,7/9/2010,C,Ramon,Hernandez,7/5/2010,7/5/2010,7/22/2010,7/22/2010,17,,15,left,knee,,inflammation,,,
bailh001,456701,CIN,5/24/2010,P,Homer,Bailey,5/24/2010,5/24/2010,8/15/2010,8/15/2010,83,,15,right,shoulder,,inflammation,,,
haraa001,421685,CIN,7/6/2010,P,Aaron,Harang,7/1/2010,7/1/2010,8/31/2010,8/31/2010,61,,15,lower,back,,spasms,,,
cabro001,111851,CIN,8/3/2010,I,Orlando,Cabrera,8/3/2010,8/3/2010,9/3/2010,9/3/2010,31,,15,left,oblique,,strain,,,
leakm001,502190,CIN,8/27/2010,P,Mike,Leake,8/25/2010,8/25/2010,9/10/2010,9/10/2010,16,,15,right,shoulder,,fatigue,,,
edmoj001,113744,CIN,8/24/2010,O,Jim,Edmonds,8/24/2010,8/24/2010,9/10/2010,9/10/2010,17,,15,right,oblique,muscle,strain,,,
nix-l001,425556,CIN,8/31/2010,O,Laynce,Nix,8/26/2010,8/26/2010,9/18/2010,9/18/2010,23,,15,left,ankle,,strain,,,
dickc001,447736,CIN,4/30/2010,O,Chris,Dickerson,4/30/2010,4/30/2010,unk,10/3/2010,156,5/29/2010,15,right,wrist,,sprain,,,
lincm001,150221,CIN,6/1/2010,P,Mike,Lincoln,6/1/2010,6/1/2010,unk,10/3/2010,124,7/17/2010,15,right,side,muscle,strain,,,
sprir001,122620,CIN,8/7/2010,P,Russ,Springer,8/5/2010,8/5/2010,unk,10/3/2010,59,9/1/2010,15,left,hip,,strain,,,
branr001,137140,CLE,3/26/2010,I,Russell,Branyan,3/26/2010,4/5/2010,4/4/2010,4/4/2010,-1,,15,,back,,injury,,,
ambrh001,459932,CLE,3/31/2010,P,Hector,Ambriz,3/27/2010,4/5/2010,4/30/2010,4/30/2010,25,,15,right,elbow,,tendinitis,,,
woodk002,134268,CLE,4/4/2010,P,Kerry,Wood,3/26/2010,4/5/2010,5/7/2010,5/7/2010,32,,15,right,latissimus dorsi muscle,,strain,,,
marta004,429708,CLE,5/15/2010,I,Andy,Marte,5/15/2010,5/15/2010,6/7/2010,6/7/2010,23,9/1/2010,15,,stomach,hair,infection,,,
cabra002,452678,CLE,5/18/2010,I,Asdrubal,Cabrera,5/18/2010,5/18/2010,7/20/2010,7/20/2010,63,,15,left,forearm,,fracture,,,
choos001,425783,CLE,7/4/2010,O,Shin-Soo,Choo,7/3/2010,7/3/2010,7/23/2010,7/23/2010,20,,15,right,thumb,,sprain,,,
woodk002,134268,CLE,7/17/2010,P,Kerry,Wood,7/12/2010,7/12/2010,7/31/2010,7/31/2010,19,,15,right index,finger,,blister,,,
talbm001,452676,CLE,7/30/2010,P,Mitch,Talbot,7/30/2010,7/30/2010,8/14/2010,8/14/2010,15,,15,,back,,strain,,,
hafnt001,400098,CLE,8/3/2010,D,Travis,Hafner,7/29/2010,7/29/2010,8/15/2010,8/15/2010,17,,15,right,shoulder,,inflammation,,,
laffa001,444836,CLE,7/23/2010,P,Aaron,Laffey,7/20/2010,7/20/2010,8/31/2010,8/31/2010,42,,15,left,shoulder,,fatigue,,,
sizeg001,429713,CLE,5/23/2010,O,Grady,Sizemore,5/17/2010,5/17/2010,unk,10/3/2010,139,6/1/2010,15,left,knee,bone,bruise,,,
ambrh001,459932,CLE,9/23/2010,P,Hector,Ambriz,9/23/2010,9/23/2010,unk,10/3/2010,10,,60,right,elbow,,inflammation,,,
santc002,467793,CLE,8/3/2010,C,Carlos,Santana,8/3/2010,8/3/2010,unk,10/3/2010,61,9/23/2010,15,left,knee,,sprain,,,
hawpb001,425547,COL,4/25/2010,O,Brad,Hawpe,4/25/2010,4/25/2010,5/10/2010,5/10/2010,15,,15,right,quadriceps,,strain,,,
hammj002,434628,COL,4/27/2010,P,Jason,Hammel,4/27/2010,4/27/2010,5/15/2010,5/15/2010,18,,15,right,groin,,strain,,,
franj003,433585,COL,4/3/2010,P,Jeff,Francis,4/2/2010,4/5/2010,5/16/2010,5/16/2010,41,,15,left,shoulder,,tendinitis,,,
moraf001,462985,COL,5/12/2010,P,Franklin,Morales,5/6/2010,5/6/2010,6/2/2010,6/2/2010,27,,15,left,shoulder,,weakness,,,
streh001,434718,COL,4/3/2010,P,Huston,Street,3/26/2010,4/5/2010,6/22/2010,6/22/2010,78,,15,right,shoulder,,inflammation,,,
delaj001,407822,COL,4/27/2010,P,Jorge,De La Rosa,4/26/2010,4/26/2010,7/9/2010,7/9/2010,74,,15,left middle,finger,tendon,torn,,,
bucht001,430587,COL,4/3/2010,P,Taylor,Buchholz,3/26/2010,4/5/2010,7/24/2010,7/24/2010,110,4/16/2010,15,right,elbow,,Tommy John surgery,,yes,6/1/2009
tulot001,453064,COL,6/18/2010,I,Troy,Tulowitzki,6/18/2010,6/18/2010,7/27/2010,7/27/2010,39,,15,left,wrist,,fracture,,,
heltt001,115732,COL,7/7/2010,I,Todd,Helton,7/5/2010,7/5/2010,8/3/2010,8/3/2010,29,,15,,back,,sore,,,
bucht001,430587,COL,8/17/2010,P,Taylor,Buchholz,8/14/2010,8/14/2010,9/1/2010,9/1/2010,18,,15,lower,back,,stiffness,,,
cooka002,346871,COL,8/5/2010,P,Aaron,Cook,8/4/2010,8/4/2010,9/3/2010,9/3/2010,30,,15,right big,toe,,sprain,,,
dalem002,457935,COL,6/16/2010,P,Matt,Daley,6/11/2010,6/11/2010,9/6/2010,9/6/2010,87,8/3/2010,15,right,shoulder,,inflammation,,,
franj003,433585,COL,8/14/2010,P,Jeff,Francis,8/12/2010,8/12/2010,9/12/2010,9/12/2010,31,,15,left,shoulder,,sore,,,
youne003,458913,COL,5/15/2010,O,Eric,Young,5/15/2010,5/15/2010,9/18/2010,9/18/2010,126,,15,right,leg,,stress fracture,,,
stewi001,456655,COL,8/30/2010,I,Ian,Stewart,8/26/2010,8/26/2010,9/23/2010,9/23/2010,28,,15,right,oblique,,strain,,,
reyng001,453353,COL,4/3/2010,P,Greg,Reynolds,3/26/2010,4/5/2010,unk,10/3/2010,181,4/27/2010,15,right,elbow,,contusion.,,,
corpm001,466918,COL,8/27/2010,P,Manuel,Corpas,8/26/2010,8/26/2010,unk,10/3/2010,38,9/18/2010,15,right,elbow,,strain,,,
cooka002,346871,COL,9/18/2010,P,Aaron,Cook,9/9/2010,9/9/2010,10/5/2010,10/3/2010,26,,15,right,fibula,,fracture,,,
guilc001,136722,DET,4/23/2010,O,Carlos,Guillen,4/23/2010,4/23/2010,5/28/2010,5/28/2010,35,,15,left,hamstring,,strain,,,
perrr001,543634,DET,6/10/2010,P,Ryan,Perry,6/7/2010,6/7/2010,7/3/2010,7/3/2010,26,,15,right,biceps,,tendinitis,,,
ingeb001,276346,DET,7/20/2010,I,Brandon,Inge,7/20/2010,7/20/2010,8/4/2010,8/4/2010,15,,15,left,hand,,fracture,,,
guilc001,136722,DET,7/25/2010,O,Carlos,Guillen,7/25/2010,7/25/2010,8/9/2010,8/9/2010,15,,15,right,calf,,strain,,,
zumaj001,451491,DET,6/29/2010,P,Joel,Zumaya,6/29/2010,6/29/2010,unk,10/3/2010,96,,15,right,elbow,,injury,,,
